Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto,Slbs,Ambiguo,NuclVoc,Rima,Consonancia,Ritmo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,36,PALES,,X,es bien que primero llegue,8,0,EEeiEoEe,ee,ʎege,++--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,37,PALES,,X,a informarte de un enojo,8,0,ioAeUeOo,oo,noxo,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,38,PALES,,X,que a darte voces se atreve.,8,0,aAeOeaEe,ee,tɾebe,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,39,PALES,,X,"Pales soy, deidad a cuyo",8,0,AeOeAaUo,uo,kujo,+-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,40,PALES,,X,rústico estudio concede,8,0,UieUooEe,ee,θede,+--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,41,PALES,,X,Júpiter el patrocinio;,8,0,UieeaoIo,io,θinjo,+-----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,42,PALES,,X,amparo y favor silvestre,8,0,aAaOiEe,ee,bestɾe,-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,43,PALES,,X,"de todas las alquerías,",8,0,eoaaaeIa,ia,ɾias,------+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,44,PALES,,X,"quintas, casas de placeres",8,0,IaAaeaEe,ee,θeɾes,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,45,PALES,,X,"y apartadas poblaciones,",8,0,aaAaoaOe,oe,θjones,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,46,PALES,,X,que de la campaña fértil,8,0,eeaaAaEi,ei,feɾtil,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,47,PALES,,X,son adorno; cuanto es,8,0,OaOoAoE,e,es,+-+-+-+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,48,PALES,,X,"retiro a mí me compete,",8,0,eIaIeoEe,ee,pete,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,49,PALES,,X,que bucólica Talía,8,0,euOiaaIa,ia,lia,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,50,PALES,,X,canta en mí rústicamente.,8,0,AeIUiaEe,ee,mente,+-++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,51,PALES,,X,"Viendo que es casa de campo,",8,0,EoEAaeAo,ao,kampo,+-++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,52,PALES,,X,"aunque es palacio eminente,",8,0,aEaAeiEe,ee,nente,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,53,PALES,,X,esta fábrica y que a mí,8,0,EaAiaI,i,mi,+-+--+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,54,PALES,,X,sus festejos pertenecen;,8,0,UeEoeeEe,ee,neθen,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,55,PALES,,X,"viendo hoy en su hermosa esfera,",8,1,EOeeOeEa,ea,feɾa,++--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,56,PALES,,X,para tantos soles breve,8,0,aaAoOeEe,ee,bɾebe,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,57,PALES,,X,"a pesar de su estación,",8,0,aeAeeaO,o,θjon,--+---+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,58,PALES,,X,"la majestad de mis reyes,",8,0,aaeAeiEe,ee,rejes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,59,PALES,,X,corrida vengo a buscarte,8,0,oIaEauAe,ae,kaɾte,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,60,PALES,,X,por ver cuán poco te debe,8,0,oEAOoeEe,ee,debe,-+++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,61,PALES,,X,"esta dicha, que no has hecho",8,0,EaIaeAEo,eo,etʃo,+-+--++-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,62,PALES,,X,prevenciones excelentes,8,0,eeOeeeEe,ee,lentes,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,63,PALES,,X,"con que su vista saludes,",8,0,oeuIaaUe,ue,ludes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,64,PALES,,X,"con que su deidad festejes,",8,0,oeueAeEe,ee,texes,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,65,PALES,,X,con que tu ventura aplaudas,8,0,oeueUaAa,aa,plawdas,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,66,PALES,,X,y su venida celebres.,8,0,ueIaeEe,ee,lebɾes,--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,67,FLORA,,F,"Yo, que soy Flora, a quien toca",8,0,oeOOaeOa,oa,toka,--++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,68,FLORA,,F,el hermoso imperio alegre,8,0,eeOiEaEe,ee,legɾe,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,69,FLORA,,F,"de estanques y de jardines,",8,0,eAeeaIe,ie,dines,-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,70,FLORA,,F,patria de flores y fuentes;,8,0,AaeOeEe,ee,fwentes,+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,71,FLORA,,F,"yo, cuya cultura el cielo",8,1,ouauUeEo,eo,θjelo,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,72,FLORA,,F,mismo envidió tantas veces,8,0,IeiOAaEe,ee,beθes,+--++-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,73,FLORA,,F,cuantas mis varios dibujos,8,0,aaiaoiUo,uo,buxos,------+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,74,FLORA,,F,siempre en laberintos verdes,8,0,EeaeIoEe,ee,beɾdes,+---+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,75,FLORA,,F,excedieron los azules,8,0,eeEooaUe,ue,θules,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,76,FLORA,,F,"suyos, siendo al oponerse",8,1,UoEaooEe,ee,neɾse,+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,77,FLORA,,F,el jardín un verde cielo,8,0,eaIUEeEo,eo,θjelo,--+++-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,78,FLORA,,F,"y el cielo un jardín celeste,",8,0,eEUaIeEe,ee,leste,-++-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,79,FLORA,,F,con el mismo intento vine,8,0,oeIiEoIe,ie,bine,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,80,FLORA,,F,a reñirte dignamente,8,0,aeIeIaEe,ee,mente,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,81,FLORA,,F,"el poco cuidado, pues",8,0,eOouAoE,e,pwes,-+--+-+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,82,FLORA,,F,fiesta ninguna previenes,8,0,EaiuaeEe,ee,bjenes,+-----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,83,FLORA,,F,en tu espacio que divierta,8,0,eeAoeiEa,ea,bjeɾta,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,84,FLORA,,F,a quien mis jardines viene,8,0,aeiaIeEe,ee,bjene,----+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,85,FLORA,,F,a enriquecer de matices,8,0,eieEeaIe,ie,tiθes,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,86,FLORA,,F,y colores diferentes.,8,0,oOeieEe,ee,ɾentes,-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,87,FLORA,,F,"¿Cómo tú, Noche, en tu noche",8,0,OoUOeuOe,oe,notʃe,+-++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,88,FLORA,,F,perezosamente duermes,8,0,eeOaEeEe,ee,dweɾmes,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,89,FLORA,,F,sin que de aqueste cuidado,8,0,ieaEeuAo,ao,dado,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,90,FLORA,,F,el empeño te despierte?,8,0,eeEoeeEe,ee,pjeɾte,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,91,FLORA,,F,"Pues, siendo la más festiva",8,0,eEoaAeIa,ia,tiba,-+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,92,FLORA,,F,"a las más remotas gentes,",8,0,aaAeOaEe,ee,xentes,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,93,FLORA,,F,para la mayor acción,8,0,aaaaOaO,o,θjon,----+-+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,94,FLORA,,F,la menos festiva eres.,8,0,aEoeIaEe,ee,eɾes,-+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,95,NOCHE,,X,"Bella Pales, bella Flora,",8,0,EaAeEaOa,oa,floɾa,+-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,96,NOCHE,,X,hermosuras a quien debe,8,0,eoUaaeEe,ee,debe,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,97,NOCHE,,X,la contada edad del año,8,0,aoAeAeAo,ao,aɲo,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,98,NOCHE,,X,"la luz de sus doce meses,",8,0,aUeuOeEe,ee,meses,-+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,99,NOCHE,,X,"no así de mí desconfíes,",8,1,aIeIeoIe,ie,fies,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,100,NOCHE,,X,"no así tú de mí te quejes,",8,0,aIUeIeEe,ee,kexes,-++-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,101,NOCHE,,X,que no ha sido mi descuido,8,0,eAIoieUo,uo,kujdo,-++---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,102,NOCHE,,X,"tan grande como os parece,",8,0,AAeooaEe,ee,ɾeθe,++----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,103,NOCHE,,X,"que, aunque humilde fiesta sea",8,1,auIeEaEa,ea,sea,--+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,104,NOCHE,,X,–no humilde por quien pretende,8,0,uIeoeeEe,ee,tende,-+----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,105,NOCHE,,X,"hacerla, sino por quien",8,0,aEaiooE,e,kjen,-+----+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,106,NOCHE,,X,"con poco ingenio la emprende–,",8,0,ooiEoeEe,ee,pɾende,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,107,NOCHE,,X,una tengo prevenida,8,0,uaEoeeIa,ia,nida,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,108,NOCHE,,X,"que divierta, aunque no alegre",8,0,eiEaeaEe,ee,legɾe,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,109,NOCHE,,X,"mi noche. ¡Oh, quieran los cielos",8,0,IOOEaoEo,eo,θjelos,++++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,110,NOCHE,,X,que a salir con ella acierte!,8,0,aaIoeaEe,ee,θjeɾte,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,27,111,PALES y NOCHE,,X,¿Prevenida hay fiesta? Sí.,8,0,eeIAEaI,i,si,--+++-+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,29,112,FLORA y NOCHE,,FX,¿Y qué fiesta es? La que siempre:,8,0,eEEaeEe,ee,sjempɾe,-++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,30,113,NOCHE y PALES,,X,una comedia. ¿Hala escrito,8,0,UaoEAeIo,io,kɾito,+--++-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,30,114,PALES,,X,algún ingenio excelente?,8,0,auiEeeEe,ee,lente,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,31,115,NOCHE,,X,"No, sino pobre y humilde.",8,1,OioOeuIe,ie,milde,+--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,116,FLORA,,F,"Poco importará, si tiene",8,0,OioaAiEe,ee,tjene,+---+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,117,FLORA,,F,algún teatro que haga,8,0,aueAoeAa,aa,aga,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,118,FLORA,,F,evidencia lo aparente.,8,0,eiEaaaEe,ee,ɾente,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,33,119,NOCHE,,X,Tampoco tiene apariencias.,8,0,aOoEaaEa,ea,ɾjenθjas,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,34,120,PALES,,X,Pues buena fiesta previenes.,8,0,eEaEaeEe,ee,bjenes,-+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,35,121,FLORA,,F,Sin ingenio y sin adorno,8,0,iiEiaOo,oo,doɾno,--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,35,122,FLORA,,F,¿no fuera mejor no hacerse?,8,0,OEaeOaEe,ee,θeɾse,++--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,36,123,NOCHE,,X,No tan presto antes de vella,8,0,OAEAeeEa,ea,beʎa,++++--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,36,124,NOCHE,,X,a las dos os desconsuele.,8,0,aaOoeoEe,ee,swele,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,37,125,PALES,,X,Refiérenos de qué trata.,8,0,eEeoeEAa,aa,tɾata,-+---++-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,38,126,FLORA,,F,Repítenos qué contiene.,8,0,eIeoEoEe,ee,tjene,-+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,127,NOCHE,,X,"Escuchad, que el argumento",8,0,euAeauEo,eo,mento,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,128,NOCHE,,X,os quiero poner presente,8,0,oEooEeEe,ee,sente,-+--+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,129,NOCHE,,X,"de toda la fiesta, a ver",8,0,eoaaEaE,e,beɾ,----+-+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,130,NOCHE,,X,"lo que la fiesta os parece,",8,0,oeaEoaEe,ee,ɾeθe,---+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,131,NOCHE,,X,que esto hizo la Antigüedad,8,0,eIoaieA,a,dad,-+----+
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,132,NOCHE,,X,en sus fiestas muchas veces.,8,0,euEauaEe,ee,beθes,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,133,NOCHE,,X,"Escuchad, pues, su argumento",8,0,euAeauEo,eo,mento,--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,134,NOCHE,,X,antes que se represente.,8,0,AeeeeeEe,ee,sente,+-----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,40,135,HÉRCULES,,X,Dejadme dar la muerte.,7,0,eAeAaEe,ee,mweɾte,-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,44,136,JASÓN y TESEO y JASÓN y TESEO,,XMMXXM,Repara. Considera. Mira. Advierte.,11,0,eAaoiEaIaEe,ee,bjeɾte,-+---+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,137,HÉRCULES,,X,"Dejad que mi despecho,",7,0,eAeieEo,eo,petʃo,-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,138,HÉRCULES,,X,"en ira, en rabia y en furor deshecho,",11,1,eIeAaeuOeEo,eo,etʃo,-+-+---+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,139,HÉRCULES,,X,"con los dientes, las manos y los brazos,",11,0,ooEeaAooAo,ao,bɾaθos,--+--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,140,HÉRCULES,,X,"el corazón sacándome a pedazos,",11,0,eoaOaAoaeAo,ao,daθos,---+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,141,HÉRCULES,,X,hoy la vida me quite,7,0,OaIaeIe,ie,kite,+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,142,HÉRCULES,,X,"o que al mar desde aquí me precipite,",11,0,oaAeaIeeiIe,ie,pite,--+--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,143,HÉRCULES,,X,porque a tanta estatura,7,0,oaAeaUa,ua,tuɾa,--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,144,HÉRCULES,,X,solo el mar es bastante sepultura.,11,0,OeAEaaeeuUa,ua,tuɾa,+-++-----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,145,TESEO,,M,"Hércules valeroso,",7,0,EueaeOo,oo,ɾoso,+----+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,146,TESEO,,M,"tú, que siempre soberbio y animoso",11,1,UeEeoEoaiOo,oo,moso,+-+--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,147,TESEO,,M,con heroicas vitorias,7,0,oeOaiOa,oa,toɾjas,--+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,148,TESEO,,M,"tu fama has ilustrado de memorias,",11,0,UAAiuAoeeOa,oa,moɾjas,+++--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,149,TESEO,,M,¿hablas tan impaciente,7,0,AaAiaEe,ee,θjente,+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,150,TESEO,,M,rendido a ningún trágico acidente?,11,0,eIaiuAiaiEe,ee,dente,-+---+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,151,JASÓN,,X,"Tú, que tantas fatigas padeciste",11,0,UeAaaIaaeIe,ie,θiste,+-+--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,152,JASÓN,,X,"con que eternos aplausos conseguiste,",11,0,oeEoaAooeIe,ie,giste,--+--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,153,JASÓN,,X,cuyo nombre jamás será escondido,11,1,uoOeaAeeoIo,io,dido,--+--+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,154,JASÓN,,X,"de las borradas señas del olvido,",11,0,eaoAaEaeoIo,io,bido,---+-+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,155,JASÓN,,X,¿hoy te muestras sin seso,7,0,OeEaiEo,eo,seso,+-+--+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,156,JASÓN,,X,rendido a ningún trágico suceso?,11,0,eIaiuAiouEo,eo,θeso,-+---+---+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,157,TESEO,,M,La muerte quieres darte;,7,0,aEeEeAe,ae,daɾte,-+-+-+-
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,158,TESEO,,M,"no debes, no, sin duda de acordarte",11,0,OEeOiUaaoAe,ae,daɾte,++-+-+---+-
